country,ISOcode,cases,deaths,popdata2018,popdata2018_log,cases_log,deaths_log,ccode,country_name,country_id,v2x_polyarchy,v2x_libdem,v2x_partipdem
Sint_Maarten,SXM,52,9,41486,4.6179118,1.7242758,1,,Somaliland,139,.44100001,.26499999,.285
Sint_Maarten,SXM,52,9,41486,4.6179118,1.7242758,1,,Palestine/Gaza,138,.13,.078000002,.111
Sint_Maarten,SXM,52,9,41486,4.6179118,1.7242758,1,,Palestine/West Bank,128,.28299999,.20999999,.20100001
Seychelles,SYC,11,0,96762,4.9857092,1.0791812,0,591,Seychelles,199,.56300002,.48199999,.208
Syria,SYR,29,2,16906283,7.2280483,1.4771212,.47712126,652,Syria,97,.145,.043000001,.066
Turks_and_Caicos_islands,TCA,10,1,31458,4.497745,1.0413927,.30103001,,Palestine/West Bank,128,.28299999,.20999999,.20100001
Turks_and_Caicos_islands,TCA,10,1,31458,4.497745,1.0413927,.30103001,,Hong Kong,167,.31799999,.255,.117
Turks_and_Caicos_islands,TCA,10,1,31458,4.497745,1.0413927,.30103001,,Palestine/Gaza,138,.13,.078000002,.111
Turks_and_Caicos_islands,TCA,10,1,31458,4.497745,1.0413927,.30103001,,Somaliland,139,.44100001,.26499999,.285
Chad,TCD,23,0,15477751,7.1897078,1.3802112,0,483,Chad,109,.27000001,.11,.171
Togo,TGO,77,3,7889094,6.897027,1.8920946,.60206002,461,Togo,134,.359,.17900001,.23100001
Thailand,THA,2643,43,69428524,7.841538,3.4222615,1.6434526,800,Thailand,49,.16599999,.152,.102
Timor_Leste,TLS,6,0,1267972,6.1031098,.84509802,0,,Palestine/Gaza,138,.13,.078000002,.111
Timor_Leste,TLS,6,0,1267972,6.1031098,.84509802,0,,Hong Kong,167,.31799999,.255,.117
