dyadid,year,ccode,ctry,conflictid,sidea2nd,side_b,sideb2nd,rebbest2010,lnintv_ratiolag,lnratio_scale,multreb,lnbdbest,lnarea,age,lagpolityalt,laggdpper,lnlagtpop,lngov,lagrebdum2010,lagreb2010
93,1989,450,Liberia,146,,NPFL,,0,,-.44468588,0,3.713572,11.4625,0,-6,6.9200888,7.7583342,0,,
93,1990,450,Liberia,146,,NPFL,,601,0,-1.0296195,1,7.193686,11.4625,1,-6,6.6242776,7.7836399,6.8865318,0,0
93,1991,450,Liberia,146,,NPFL,,211,0,0,0,0,11.4625,2,0,6.1186919,7.7861371,0,1,601
93,1992,450,Liberia,146,,NPFL,,385,0,1.0986123,0,0,11.4625,3,0,6.1459007,7.8320141,0,1,211
93,1993,450,Liberia,146,,NPFL,,820,0,.91629076,0,0,11.4625,4,0,5.6840558,7.855545,0,1,385
93,1994,450,Liberia,146,,NPFL,,0,0,.91629076,0,0,11.4625,5,0,5.2671876,7.8785338,0,1,820
93,1995,450,Liberia,146,,NPFL,,0,0,1.5686159,0,0,11.4625,6,0,5.0438123,7.9010072,0,0,0
93.099998,1996,450,Liberia,146,,Ulimo-J,,25,,,1,0,11.4625,7,0,5.0592985,7.922986,0,0,0
94,1990,450,Liberia,146,,INPFL,,0,,-1.0296195,1,7.193686,11.4625,0,-6,6.6242776,7.7836399,6.8865318,0,0
95,2000,450,Liberia,146,,LURD,,0,,,1,4.1271338,10.60603,0,0,5.989738,7.982758,0,0,0
95,2001,450,Liberia,146,,LURD,,0,0,,1,4.356709,10.60603,1,0,6.1579108,8.056427,0,0,0
95,2002,450,Liberia,146,,LURD,,0,0,-.56798416,0,6.4785089,10.60603,2,0,6.2112021,8.0567436,0,0,0
95,2003,450,Liberia,146,,LURD,,0,0,-1.5293952,0,7.3877091,10.60603,3,0,6.2451372,8.0251894,0,0,0
96,1990,432,Mali,177,,MPA,,0,,,1,5.31812,13.36964,0,-7,6.5303087,8.9821844,4.8202815,0,0
97,1994,432,Mali,177,,FIAA,,96,,,1,4.6539602,13.36964,3,7,6.7081695,9.2237501,5.529429,0,0
98,1989,600,Morocco,135,,POLISARIO,,0,,-2.8332133,0,5.2626901,12.40016,14,-8,7.9456973,10.06079,0,,
